Key,ru,en
,"Поливайте 7 дней подряд, начиная с дня посадки, иначе красивый цветок засохнет.",
,"При достижении максимальной стадии роста - выращивает на свободных клетках цветы, которые сразу можно собрать.",
,,
,Подшитый рюкзак,
,Подшитый рюкзак позволяет сажать семена не тратя энергию. ,
,"Длится 3 дня.
Энергия тратится на смену типа семян в рюкзаке.",
,Подшитый рюкзак позволяет сажать семена не тратя энергию. Но энергия тратится на смену типа семян в рюкзаке.,
,,
,Двойная тяпка,
,Дополнительно вскапывает 1 соседнюю клетку.,
,Выбирает клетку из возможных - два раза вскопать землю не получится.,
,Дополнительно вскапывает 1 соседнюю клетку.,
,,
,Зелёная коса,
,"Позволяет собирать с сорняков овощи.
При сборе сорняков добавляет к нему овощ и монетку.",
,"Длится 3 дня.
Если применть на лужу то потратит 1 энергию и превратит её в сорняк.",
,Сорняки дают овоши. Если применить на лужу то потратит 1 энергию и превратит её в сорняк,
,,
,Бесконечная лейка,
,Бот-поливатель не тратит энергию на полив.,
,"Дорогая штука!
Старайтесь заранее подготовить растения и грядки к поливу.",
,Лейка не тратит энергию,
,,
,Погодометр,
,Определяет все погодные события на неделю вперёд.,
,"Погодометр сможет определить, когда будет ""день любви к растениям"", если этот день выпадает на следующую неделю.",
,Показывает все погодные события на неделю вперёд,
,,
,Батарейка для часов,
,"Позволяет полностью восстановить энергию часов.
Редкая штука!",
,"Не может быть использована, если энергия в часах не закончилась!",
,Полностью перезаряжает все дни ,
,,
,Мокрая коса,
,"Поливает клетку, перед тем как её собрать.
Не тратит энергию.",
,"Длится 2 дня.
Будьте аккуратны, мокрая коса сложна в обращении.",
,"Коса сначала поливает, а после собирает. Не тратит энергию.",
,,
,Засуха,
,Засуха превращает все незасеянные клетки обрато в песок.,
,"Помим этого, все лужи мнгновенно высыхают и из них вырастают сорняки.",
,,
,Вредители,
,"Съедают все растения, которые можно собрать сборщиком.",
,Заранее посаженная мухоловка поможет избежать ущерба.,
,,
,День любви к растениям,
,"Праздник!
Овощи покупают в 2 раза дороже!",
,"Наступает в случайный день во второй или третьей неделе месяца.
Улучшенный календарь показывает точную дату.",
,,
,Воскресная доставка,
,"В этот день открывается межпланетная доставка.
На ней можно  запросить с Земли новые приспособления и виды растений.",
,Старайтесь вырастить как можно больше овощей чтобы получить самые новейшие разработки с Земли.,
,,
,День,
,"Обычный день.
Солнце светит птички поют.",
,В самом начале дня у растений происходит переход на следующую стадию.,
,,
,Дождь,
,"Поливает все клетки, которые возможно полить.",
,"Даже те, которые не нужно.
К примеру кактусы дождь точно не переживут.",
,,
,Неизвестное событие,
,В этот день что-то произойдёт!,
,Чтобы заранее знать что произойдёт - приобретите <color=blue>погодометр</color> в магазине инструментов.,
,,
,Сильный ветер,
,Ветер раздувает семена из вашего инвентаре и высаживает их на случайные клетки.,
,"Осторожно!
Если семян больше чем свободных клеток - они бесследно исчезнут.",
,,
,Биогенератор,
,При нажатии на биогенератор он переработает сорняк с одной из 6 клеток правее него в дополнительную энегрию.,
,,
,При нажатии на биогенератор он переработает сорняк с одной из 6 клеток правее него в дополнительную энегрию.,
,,
,Освежитель,
,"Заранее заправьте освежитель водой, пока он не станет золотым. Золотой освежитель спасёт ваши клетки от засухи и опустошится.",
,,
,"Заранее заправьте освежитель водой, пока он не станет золотым. Золотой освежитель спасёт ваши клетки от засухи и опустошится.",
,,
,Амбар с семенами,
,Поместите внутрь семена выбранного растения и в магазине семян всегда будет возможность его купить.,
,,
,Поместите внутрь семена выбранного растения и в магазине семян всегда будет возможность его купить.,
,,
,Поливатель,
,Залейте внутрь воды и поливатель 2 дня польёт выбранную клетку,
,,
,Залейте внутрь воды и поливатель 2 дня польёт выбранную клетку,
,,
,Цель для поливателя,
,,
,,
,,
,Трактор,
,Каждое утро вскапывает 1 случайную клетку.,
,,
,Каждое утро вскапывает 1 случайную клетку.,
,,
,,
,,
,,
,Новичок,
,Копатель,
,Огородник,
,Садовод,
,Труженик,
,Помощник фермера,
,Земледелец,
,Хозяйственник,
,Мастер Грядок,
,Агроном,
,Хозяин Полей,
,Урожайник,
,Бригадир овощей,
,Комбайнер,
,МегаФермер,
,Кооператор,
,Знаменитый фермер,
,Агробарон,
,Король Полей,
,Легендарный фермер,
